id;item_name;image;image_content_type;tag;qr_code;qr_code_content_type;bar_code;bar_code_content_type
1;Supervisor convergence;../fake-data/blob/hipster.png;image/png;customer loyalty azure;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;Up-sized Bedfordshire;../fake-data/blob/hipster.png;image/png;knowledge user extend Lao People's Democratic Republic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;De-engineered;../fake-data/blob/hipster.png;image/png;turn-key Concrete;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;killer Buckinghamshire New York;../fake-data/blob/hipster.png;image/png;Guadeloupe navigate Sleek Concrete Pizza;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;portal China;../fake-data/blob/hipster.png;image/png;Generic UAE Dirham Towels;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;Avon;../fake-data/blob/hipster.png;image/png;Kids;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;firewall purple;../fake-data/blob/hipster.png;image/png;back up Stream;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;Shores;../fake-data/blob/hipster.png;image/png;Agent partnerships intermediate;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;4th generation frictionless virtual;../fake-data/blob/hipster.png;image/png;Agent Multi-channelled;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;Nuevo Sol Directives models;../fake-data/blob/hipster.png;image/png;calculate Triple-buffered;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
