id;location_name;image;image_content_type;tag;qr_code;qr_code_content_type;bar_code;bar_code_content_type
1;Secured productize;../fake-data/blob/hipster.png;image/png;schemas;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;calculate program;../fake-data/blob/hipster.png;image/png;Ghana Games magnetic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;Savings Account cross-platform Colombia;../fake-data/blob/hipster.png;image/png;virtual;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;e-enable feed;../fake-data/blob/hipster.png;image/png;Wisconsin Frozen Forward;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;connecting;../fake-data/blob/hipster.png;image/png;cross-platform;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;index bricks-and-clicks Secured;../fake-data/blob/hipster.png;image/png;tangible e-markets Bike;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;Representative Car Granite;../fake-data/blob/hipster.png;image/png;compressing;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;Investor;../fake-data/blob/hipster.png;image/png;pink;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Refined;../fake-data/blob/hipster.png;image/png;Delaware Diverse Northern Mariana Islands;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;SAS Sports Licensed;../fake-data/blob/hipster.png;image/png;Forward Refined Frozen Cheese Mali;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
